"","yp_id","category_full_path","name","gender","age_grp","rate"
"1","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","10",0.18
"2","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","20",6.39
"3","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","30",8.94
"4","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","40",15.15
"5","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","50",15.15
"6","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","1","60_over",24.45
"7","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","10",0.18
"8","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","20",1.28
"9","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","30",2.37
"10","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","40",6.75
"11","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","50",9.85
"12","1284304","의료편의>의료시설>의원>피부과","메가비뇨의학과의원 ","2","60_over",9.31
"13","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","10",0.32
"14","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","20",15.58
"15","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","30",23.7
"16","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","40",4.87
"17","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","50",2.92
"18","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","1","60_over",0.32
"19","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","2","20",8.44
"20","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","2","30",14.94
"21","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","2","40",13.96
"22","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","2","50",9.74
"23","2057236","의료편의>의료시설>의원>피부과","미앤아이의원 부산점","2","60_over",5.19
"24","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","1","20",3.36
"25","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","1","30",5.04
"26","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","1","40",2.52
"27","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","1","50",5.88
"28","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","1","60_over",4.2
"29","2057469","의료편의>의료시설>의원>피부과","에스듈의원 ","2","20",10.92
